epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.292,0.497,0.81782,0.70812,0.88283,0.95864,0.92875,0.97166,0.89088,0.95739,0.92943,0.97231,0.86278,0.42326,0.74093,0.41269,0.83585,0.000332804,0.000332804,0.000332804
2,207.886,0.48254,0.70401,0.43593,0.87588,0.96762,0.94778,0.97733,0.91087,0.96802,0.94818,0.97898,0.87176,0.41235,0.69507,0.37281,0.84673,0.000659543,0.000659543,0.000659543
3,302.55,0.48221,0.67493,0.41264,0.87726,0.96761,0.94417,0.97715,0.90465,0.96571,0.94651,0.9781,0.88003,0.40936,0.61596,0.36128,0.84174,0.000979681,0.000979681,0.000979681
4,397.4,0.45621,0.62545,0.37841,0.86545,0.96762,0.9514,0.98026,0.92368,0.96995,0.95476,0.98063,0.89912,0.35657,0.6129,0.32963,0.82642,0.0009703,0.0009703,0.0009703
5,492.118,0.44784,0.60779,0.3657,0.86374,0.97152,0.94437,0.97537,0.91517,0.9792,0.93878,0.9758,0.885,0.39166,0.60244,0.33339,0.8394,0.0009604,0.0009604,0.0009604
6,586.228,0.42009,0.54551,0.34211,0.85337,0.98198,0.94517,0.98005,0.93271,0.98413,0.94734,0.98131,0.90392,0.34483,0.58022,0.31185,0.82409,0.0009505,0.0009505,0.0009505
7,681.19,0.39892,0.52533,0.322,0.84937,0.97442,0.95427,0.98553,0.93754,0.97348,0.95332,0.98181,0.90511,0.32776,0.52342,0.28594,0.81957,0.0009406,0.0009406,0.0009406
8,775.781,0.39059,0.51713,0.31268,0.84653,0.98649,0.95272,0.98188,0.94082,0.98619,0.9542,0.98274,0.90377,0.31885,0.52425,0.28082,0.8185,0.0009307,0.0009307,0.0009307
9,870.357,0.38076,0.51198,0.30377,0.84392,0.98385,0.95791,0.98403,0.94416,0.98027,0.95569,0.98313,0.90752,0.32614,0.54918,0.27332,0.81333,0.0009208,0.0009208,0.0009208
10,964.499,0.36993,0.50121,0.2922,0.83913,0.99259,0.94449,0.98458,0.94073,0.99247,0.94306,0.98402,0.91351,0.32177,0.54088,0.27323,0.81518,0.0009109,0.0009109,0.0009109
11,1058.93,0.36323,0.48287,0.29068,0.83688,0.98598,0.95382,0.98461,0.95057,0.97168,0.96527,0.98486,0.92175,0.30008,0.49029,0.26266,0.81137,0.000901,0.000901,0.000901
12,1153.4,0.35992,0.47841,0.28214,0.83455,0.98458,0.96179,0.9862,0.95548,0.98405,0.9611,0.98607,0.91963,0.28913,0.52391,0.24623,0.8069,0.0008911,0.0008911,0.0008911
13,1247.37,0.35045,0.46274,0.2755,0.83253,0.98722,0.96265,0.98875,0.9528,0.98334,0.96583,0.98804,0.91402,0.2992,0.52817,0.2555,0.80519,0.0008812,0.0008812,0.0008812
14,1341.82,0.35077,0.46212,0.27433,0.83123,0.98838,0.96059,0.98853,0.96026,0.98634,0.96202,0.98815,0.92101,0.27966,0.48895,0.24236,0.80224,0.0008713,0.0008713,0.0008713
15,1436.67,0.3418,0.44181,0.26286,0.82836,0.98647,0.95873,0.98913,0.95577,0.98051,0.96484,0.98862,0.92381,0.2797,0.47699,0.23224,0.80326,0.0008614,0.0008614,0.0008614
16,1530.7,0.32965,0.43037,0.25467,0.82431,0.9702,0.97247,0.98914,0.95988,0.98772,0.95605,0.98819,0.92665,0.27822,0.45919,0.23115,0.80341,0.0008515,0.0008515,0.0008515
17,1625.42,0.33525,0.44459,0.2583,0.82614,0.98761,0.96239,0.99003,0.96191,0.98891,0.96164,0.98936,0.91883,0.27483,0.47354,0.22632,0.79831,0.0008416,0.0008416,0.0008416
18,1719.31,0.32874,0.43044,0.25013,0.82224,0.98684,0.96445,0.99003,0.96105,0.98816,0.96633,0.98839,0.92386,0.26558,0.46194,0.22138,0.79808,0.0008317,0.0008317,0.0008317
19,1813.46,0.32158,0.41416,0.24546,0.82124,0.98498,0.96471,0.99084,0.96303,0.98688,0.9658,0.99026,0.92069,0.26814,0.43939,0.22549,0.80166,0.0008218,0.0008218,0.0008218
20,1907.69,0.32007,0.41368,0.24685,0.82099,0.98103,0.96973,0.99076,0.96138,0.98022,0.96894,0.98935,0.9164,0.25949,0.49634,0.21582,0.7935,0.0008119,0.0008119,0.0008119
21,2002.1,0.31747,0.41993,0.23823,0.81966,0.98874,0.96592,0.99062,0.96394,0.98909,0.9653,0.98911,0.92721,0.25331,0.44065,0.21187,0.79315,0.000802,0.000802,0.000802
22,2096.78,0.31432,0.41422,0.2358,0.81991,0.98176,0.97392,0.99168,0.96517,0.98181,0.97397,0.98791,0.92021,0.25551,0.46356,0.21045,0.79504,0.0007921,0.0007921,0.0007921
23,2191.06,0.30373,0.39219,0.22814,0.81398,0.98242,0.97569,0.99115,0.96545,0.98138,0.97503,0.98836,0.92894,0.25793,0.42388,0.21588,0.79604,0.0007822,0.0007822,0.0007822
24,2285.95,0.30733,0.39845,0.23426,0.81833,0.98673,0.9671,0.99097,0.96607,0.98545,0.96607,0.9897,0.92915,0.26072,0.44906,0.22591,0.79948,0.0007723,0.0007723,0.0007723
25,2380.14,0.30701,0.40071,0.23255,0.81759,0.98545,0.97296,0.9916,0.96653,0.98481,0.97183,0.9904,0.92904,0.25435,0.45654,0.20666,0.79263,0.0007624,0.0007624,0.0007624
26,2474.84,0.30264,0.38947,0.22559,0.81768,0.97972,0.976,0.99121,0.96491,0.98434,0.97275,0.98857,0.9318,0.25222,0.46277,0.20884,0.79596,0.0007525,0.0007525,0.0007525
27,2568.99,0.30234,0.3896,0.22543,0.81825,0.988,0.97307,0.99255,0.96704,0.98707,0.97214,0.99075,0.93194,0.25021,0.45542,0.20396,0.79434,0.0007426,0.0007426,0.0007426
28,2663.84,0.3013,0.38799,0.22388,0.81535,0.97701,0.98149,0.99175,0.96719,0.97895,0.97295,0.9883,0.92746,0.24539,0.45344,0.19512,0.79056,0.0007327,0.0007327,0.0007327
29,2757.71,0.30107,0.3869,0.22204,0.8172,0.97618,0.97987,0.99051,0.96725,0.97777,0.98147,0.99017,0.93145,0.24104,0.44829,0.19793,0.79018,0.0007228,0.0007228,0.0007228
30,2851.07,0.29215,0.37913,0.21771,0.81586,0.98124,0.97162,0.99175,0.96858,0.97953,0.96983,0.98772,0.93105,0.24675,0.44375,0.19761,0.79252,0.0007129,0.0007129,0.0007129
31,2945.25,0.29244,0.37338,0.21736,0.81262,0.98446,0.97507,0.9923,0.97065,0.98361,0.97415,0.99006,0.93212,0.23932,0.41882,0.19308,0.79111,0.000703,0.000703,0.000703
32,3039.66,0.29245,0.37454,0.21555,0.8136,0.98752,0.97332,0.9915,0.96602,0.98659,0.97217,0.98895,0.93647,0.24427,0.43129,0.19714,0.78961,0.0006931,0.0006931,0.0006931
33,3133.82,0.28983,0.37554,0.21405,0.81083,0.97803,0.97905,0.99294,0.97157,0.9772,0.97801,0.99082,0.93218,0.23175,0.44189,0.18723,0.78726,0.0006832,0.0006832,0.0006832
34,3228.89,0.28611,0.36922,0.21122,0.81167,0.98361,0.9775,0.99258,0.9715,0.98034,0.97821,0.98975,0.93585,0.23488,0.42922,0.19146,0.78647,0.0006733,0.0006733,0.0006733
35,3323.34,0.28709,0.37308,0.21154,0.81112,0.98107,0.97601,0.99238,0.96988,0.98107,0.97752,0.99195,0.93372,0.23485,0.41934,0.18658,0.78777,0.0006634,0.0006634,0.0006634
36,3417.22,0.28007,0.35906,0.20493,0.80966,0.98904,0.97289,0.99174,0.96862,0.98912,0.97304,0.98975,0.93124,0.23851,0.40925,0.19266,0.79219,0.0006535,0.0006535,0.0006535
37,3511.45,0.2804,0.35845,0.2053,0.80753,0.98522,0.97474,0.99157,0.97007,0.98608,0.97285,0.98915,0.93611,0.23264,0.43167,0.19124,0.78658,0.0006436,0.0006436,0.0006436
38,3605.59,0.27705,0.34914,0.203,0.80725,0.97949,0.97901,0.99252,0.97176,0.98286,0.97846,0.99093,0.93294,0.22785,0.44189,0.18681,0.78724,0.0006337,0.0006337,0.0006337
39,3699.46,0.27795,0.35763,0.20534,0.80906,0.98997,0.97202,0.9929,0.97109,0.98972,0.97176,0.99109,0.93265,0.23068,0.41771,0.18795,0.78582,0.0006238,0.0006238,0.0006238
40,3793.74,0.27942,0.3641,0.20478,0.80867,0.99019,0.96307,0.9914,0.97141,0.98884,0.96138,0.98793,0.9293,0.225,0.45525,0.18139,0.7833,0.0006139,0.0006139,0.0006139
41,3887.41,0.27582,0.3599,0.20369,0.80778,0.99107,0.97518,0.99211,0.97065,0.98966,0.97278,0.9889,0.93265,0.22426,0.43166,0.18284,0.78891,0.000604,0.000604,0.000604
42,3981.52,0.27175,0.34718,0.20168,0.80704,0.98676,0.97311,0.99198,0.97182,0.98409,0.97558,0.98989,0.93452,0.22508,0.41563,0.18917,0.78615,0.0005941,0.0005941,0.0005941
43,4076.15,0.27608,0.36309,0.20291,0.80698,0.98272,0.97929,0.99115,0.97028,0.98091,0.97752,0.99033,0.93048,0.22445,0.42574,0.18588,0.78336,0.0005842,0.0005842,0.0005842
44,4169.99,0.27274,0.35388,0.20047,0.80722,0.99142,0.97785,0.99322,0.97469,0.99169,0.97767,0.9912,0.93788,0.22013,0.41102,0.18166,0.7832,0.0005743,0.0005743,0.0005743
