epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7865,0.61331,1.03947,1.84491,0.88655,0.9718,0.83502,0.93463,0.8562,0.97057,0.83827,0.93572,0.83033,0.48098,0.81378,1.45348,0.84311,0.000330688,0.000330688,0.000330688
2,91.9214,0.48961,0.71517,0.77763,0.84372,0.97244,0.92294,0.95578,0.87943,0.9726,0.92151,0.95472,0.83978,0.43094,0.74106,0.53957,0.83208,0.000660734,0.000660734,0.000660734
3,128.509,0.47366,0.67355,0.67218,0.84213,0.96436,0.93199,0.95969,0.8872,0.97337,0.92544,0.95842,0.85547,0.42661,0.68309,0.47276,0.82364,0.000987481,0.000987481,0.000987481
4,164.855,0.45049,0.63653,0.59131,0.83548,0.98058,0.93359,0.97489,0.91375,0.98092,0.93341,0.97609,0.87294,0.37562,0.6315,0.41678,0.81479,0.00098515,0.00098515,0.00098515
5,201.076,0.43477,0.6026,0.52412,0.83434,0.97652,0.95179,0.98244,0.92364,0.97459,0.95169,0.97924,0.87855,0.36189,0.62082,0.38587,0.81266,0.0009802,0.0009802,0.0009802
6,237.529,0.41931,0.57685,0.46921,0.8299,0.97522,0.95148,0.97932,0.92074,0.98051,0.94556,0.97732,0.89123,0.36121,0.58337,0.36703,0.81422,0.00097525,0.00097525,0.00097525
7,273.674,0.41073,0.55798,0.43503,0.82873,0.98662,0.94148,0.9832,0.92305,0.98455,0.94176,0.98054,0.88986,0.35517,0.56529,0.34981,0.81205,0.0009703,0.0009703,0.0009703
8,310.08,0.40653,0.55919,0.40588,0.82536,0.98813,0.94351,0.98499,0.93109,0.98026,0.95353,0.9828,0.89509,0.33357,0.55532,0.32678,0.8052,0.00096535,0.00096535,0.00096535
9,346.259,0.39582,0.54182,0.38277,0.82363,0.98537,0.94008,0.98291,0.93474,0.98649,0.9411,0.98101,0.89845,0.32467,0.57796,0.32573,0.80453,0.0009604,0.0009604,0.0009604
10,382.266,0.39275,0.53753,0.37136,0.82229,0.97496,0.96391,0.98582,0.93732,0.97763,0.96111,0.98493,0.89487,0.31474,0.51075,0.31486,0.80636,0.00095545,0.00095545,0.00095545
11,418.362,0.38292,0.5209,0.35322,0.82037,0.98125,0.95908,0.98616,0.93804,0.9686,0.96701,0.98285,0.90431,0.31371,0.50738,0.29387,0.80093,0.0009505,0.0009505,0.0009505
12,454.432,0.37984,0.5109,0.34455,0.81852,0.9862,0.95363,0.98734,0.94072,0.97587,0.96535,0.98345,0.89709,0.31358,0.54292,0.29422,0.80585,0.00094555,0.00094555,0.00094555
13,490.501,0.37645,0.49703,0.33955,0.8206,0.98581,0.95634,0.98668,0.93828,0.98682,0.95583,0.98525,0.90454,0.32172,0.54285,0.29851,0.80417,0.0009406,0.0009406,0.0009406
14,526.607,0.37522,0.50008,0.33806,0.81904,0.99004,0.95161,0.98688,0.9411,0.98916,0.94785,0.9871,0.91187,0.30118,0.52098,0.28596,0.80238,0.00093565,0.00093565,0.00093565
15,562.738,0.37269,0.4971,0.32518,0.81797,0.98111,0.96043,0.98897,0.94448,0.9798,0.96595,0.98607,0.90147,0.31809,0.52872,0.2824,0.80123,0.0009307,0.0009307,0.0009307
16,598.682,0.36181,0.47635,0.31169,0.81588,0.97338,0.96578,0.9868,0.94773,0.97938,0.96688,0.98451,0.91515,0.30405,0.50808,0.27568,0.80024,0.00092575,0.00092575,0.00092575
17,634.787,0.36331,0.48823,0.3165,0.81594,0.97002,0.96534,0.98654,0.94215,0.97091,0.96768,0.98591,0.9111,0.31801,0.57093,0.28745,0.80132,0.0009208,0.0009208,0.0009208
18,670.925,0.35897,0.48585,0.30477,0.81473,0.99328,0.95339,0.98723,0.95261,0.98168,0.96346,0.98456,0.9115,0.29231,0.52856,0.26199,0.79586,0.00091585,0.00091585,0.00091585
19,707.19,0.35391,0.46805,0.30176,0.81315,0.98672,0.96425,0.98963,0.95048,0.98616,0.96255,0.98725,0.90755,0.29964,0.49369,0.27514,0.79931,0.0009109,0.0009109,0.0009109
20,743.165,0.35666,0.47342,0.30189,0.8157,0.98397,0.96602,0.9888,0.9533,0.98369,0.9664,0.98824,0.91698,0.28411,0.50697,0.25954,0.7942,0.00090595,0.00090595,0.00090595
21,779.403,0.35385,0.47809,0.296,0.81225,0.98324,0.96165,0.98783,0.9521,0.98209,0.96114,0.98622,0.91671,0.29139,0.497,0.25907,0.80113,0.000901,0.000901,0.000901
22,815.587,0.34216,0.46326,0.28824,0.81069,0.98286,0.97055,0.98994,0.95418,0.98131,0.96902,0.98699,0.9142,0.29219,0.48579,0.25129,0.79924,0.00089605,0.00089605,0.00089605
23,851.927,0.34056,0.45556,0.2826,0.80881,0.98785,0.96857,0.98784,0.95164,0.98598,0.96679,0.98594,0.91157,0.282,0.47988,0.24956,0.79335,0.0008911,0.0008911,0.0008911
24,888.192,0.34322,0.45813,0.28287,0.81211,0.9906,0.96547,0.9896,0.95674,0.98895,0.96404,0.98811,0.92189,0.28003,0.48517,0.24747,0.79198,0.00088615,0.00088615,0.00088615
25,924.555,0.3384,0.44962,0.27737,0.80878,0.98181,0.97461,0.99036,0.95888,0.98117,0.97465,0.98929,0.91678,0.27533,0.46145,0.23722,0.79515,0.0008812,0.0008812,0.0008812
26,960.717,0.33245,0.4464,0.27298,0.80904,0.98591,0.97252,0.99069,0.95903,0.98509,0.97173,0.98956,0.91769,0.27724,0.50346,0.24114,0.79744,0.00087625,0.00087625,0.00087625
27,996.686,0.33529,0.44785,0.2755,0.8115,0.98496,0.96702,0.99071,0.96014,0.9821,0.97004,0.99025,0.92556,0.27249,0.47854,0.24216,0.79274,0.0008713,0.0008713,0.0008713
28,1033.03,0.33599,0.44333,0.27296,0.81002,0.99086,0.96676,0.98841,0.95775,0.99023,0.96652,0.98786,0.92306,0.27204,0.46659,0.23943,0.7932,0.00086635,0.00086635,0.00086635
29,1069.15,0.33571,0.44577,0.27479,0.80937,0.98041,0.9761,0.99067,0.95937,0.97953,0.9752,0.989,0.92183,0.26795,0.45206,0.23434,0.7938,0.0008614,0.0008614,0.0008614
30,1105.21,0.33076,0.44215,0.26878,0.80902,0.99228,0.96726,0.98963,0.95684,0.98697,0.96807,0.98701,0.927,0.26983,0.47744,0.22882,0.79241,0.00085645,0.00085645,0.00085645
31,1141.2,0.3299,0.44398,0.26798,0.80857,0.98429,0.97197,0.98963,0.95841,0.98205,0.96978,0.98803,0.92681,0.27004,0.45443,0.23816,0.79391,0.0008515,0.0008515,0.0008515
32,1177.45,0.32868,0.43477,0.26259,0.80658,0.99029,0.96834,0.99118,0.96336,0.988,0.96706,0.9892,0.92587,0.2536,0.44388,0.22733,0.78819,0.00084655,0.00084655,0.00084655
33,1213.7,0.32471,0.43432,0.26268,0.80551,0.98881,0.96504,0.98988,0.95894,0.98622,0.96664,0.98982,0.92002,0.27036,0.47652,0.23804,0.79299,0.0008416,0.0008416,0.0008416
34,1250.13,0.33363,0.44348,0.2693,0.80997,0.9855,0.97163,0.99046,0.95895,0.98436,0.96879,0.98897,0.92535,0.27498,0.44246,0.2353,0.79308,0.00083665,0.00083665,0.00083665
35,1285.91,0.32603,0.44213,0.26446,0.80843,0.98997,0.96451,0.98826,0.96195,0.98984,0.96686,0.98723,0.92875,0.26372,0.45844,0.23043,0.78848,0.0008317,0.0008317,0.0008317
36,1321.87,0.32071,0.42392,0.2586,0.8065,0.9883,0.96849,0.99163,0.96271,0.98463,0.97098,0.98834,0.9285,0.25772,0.4415,0.2233,0.78942,0.00082675,0.00082675,0.00082675
37,1357.74,0.31847,0.42489,0.2558,0.80434,0.99034,0.96754,0.99068,0.96348,0.98634,0.97062,0.98945,0.93548,0.25806,0.43533,0.22432,0.78922,0.0008218,0.0008218,0.0008218
38,1393.76,0.31644,0.41576,0.25126,0.80443,0.98715,0.97228,0.99073,0.96361,0.98705,0.97267,0.98969,0.9267,0.2575,0.45757,0.22001,0.7876,0.00081685,0.00081685,0.00081685
39,1429.85,0.31519,0.4201,0.25295,0.80388,0.99053,0.96961,0.99083,0.96082,0.98686,0.97166,0.98888,0.9265,0.26735,0.46898,0.22564,0.79448,0.0008119,0.0008119,0.0008119
40,1466.01,0.3191,0.42576,0.25285,0.80438,0.98444,0.97239,0.99211,0.9637,0.99284,0.96645,0.98821,0.9266,0.25306,0.4468,0.21969,0.78627,0.00080695,0.00080695,0.00080695
41,1502.12,0.30914,0.41344,0.24645,0.80063,0.99194,0.9654,0.9893,0.9624,0.9808,0.97507,0.98722,0.92342,0.25245,0.46479,0.2176,0.79052,0.000802,0.000802,0.000802
42,1538.05,0.31426,0.41809,0.2508,0.80419,0.9871,0.97253,0.99107,0.96323,0.98502,0.97519,0.9897,0.92788,0.25743,0.43436,0.21987,0.78748,0.00079705,0.00079705,0.00079705
43,1574.21,0.31402,0.42539,0.24979,0.80363,0.99072,0.96847,0.98919,0.96092,0.98862,0.96684,0.98795,0.9251,0.25507,0.47795,0.22115,0.79075,0.0007921,0.0007921,0.0007921
44,1610.32,0.31174,0.41428,0.24712,0.80432,0.98679,0.97415,0.99147,0.96443,0.98553,0.97285,0.98965,0.92677,0.25396,0.44846,0.21574,0.78683,0.00078715,0.00078715,0.00078715
45,1646.31,0.31143,0.41565,0.24487,0.80306,0.98882,0.96955,0.99137,0.96281,0.99011,0.96895,0.99015,0.92847,0.25053,0.45235,0.2117,0.79032,0.0007822,0.0007822,0.0007822
46,1682.33,0.30758,0.40216,0.24357,0.80173,0.98513,0.97459,0.99187,0.96635,0.99114,0.96895,0.9903,0.93446,0.25307,0.45709,0.21482,0.79186,0.00077725,0.00077725,0.00077725
47,1718.29,0.30834,0.41304,0.24464,0.8022,0.98555,0.96987,0.99106,0.96055,0.98666,0.97092,0.98987,0.92495,0.25959,0.44595,0.22048,0.79083,0.0007723,0.0007723,0.0007723
48,1754.36,0.30744,0.40679,0.24217,0.80234,0.98623,0.97441,0.99198,0.96484,0.98619,0.9724,0.99011,0.93155,0.2541,0.46376,0.21366,0.78927,0.00076735,0.00076735,0.00076735
49,1790.19,0.30413,0.40018,0.24021,0.80158,0.99061,0.96766,0.99156,0.9641,0.99149,0.96845,0.9911,0.93212,0.24231,0.44154,0.21036,0.78965,0.0007624,0.0007624,0.0007624
50,1826.01,0.30304,0.40286,0.23901,0.80205,0.98319,0.97787,0.99195,0.96466,0.98078,0.97686,0.9898,0.93008,0.24979,0.46147,0.2125,0.7876,0.00075745,0.00075745,0.00075745
51,1861.89,0.30354,0.40314,0.23919,0.80376,0.98666,0.97081,0.99108,0.96268,0.98673,0.97133,0.98998,0.93097,0.24762,0.44227,0.20933,0.78841,0.0007525,0.0007525,0.0007525
52,1897.82,0.29847,0.3945,0.23549,0.80266,0.99307,0.97469,0.99184,0.96663,0.99084,0.97277,0.99018,0.9363,0.24507,0.45926,0.20816,0.78606,0.00074755,0.00074755,0.00074755
53,1933.64,0.30081,0.39524,0.2371,0.8011,0.99072,0.9764,0.99218,0.9656,0.98827,0.97321,0.98909,0.92996,0.24951,0.45337,0.2132,0.79044,0.0007426,0.0007426,0.0007426
54,1969.48,0.29797,0.39175,0.23437,0.80166,0.98754,0.97552,0.99275,0.96621,0.98902,0.97309,0.99083,0.92799,0.24657,0.43567,0.20613,0.78903,0.00073765,0.00073765,0.00073765
